Palabra 1,Palabra 2,Costo de Edición
iqj,ofcuab,6
mds,bhyx,4
ikfnlg,lgn,5
dtinli,kayae,6
doohqt,gquxr,6
rdr,yozv,4
eopnpm,njxj,6
fvfk,seb,4
doyoq,xoljso,5
funmve,vdlsqs,6
vpll,rtof,4
hvcdhd,rrtbat,6
obvwat,opqcc,5
fyi,dlxzcx,6
xdfbxv,vquxvd,5
gxeb,vqhmy,5
hyk,zswgyz,5
wtbv,edmtln,5
gtgx,fhbj,4
nohb,kdxr,4
ytm,tmysxg,5
uor,eosvo,4
ntvy,qno,4
jkdnqn,lcfvir,6
etzy,lug,4
dlwfk,vrnhc,5
ybzx,mgn,4
wuagm,woluek,5
mapal,wovwbt,6
erpxbf,cncxh,5
aaiqz,bisny,5
tmbc,rgd,4
jnsa,zkvkma,5
kwinbp,dxnjfm,6
vvg,enthrz,6
xpo,ysvg,4
gdqgrm,gnd,5
jvjvwm,hxxzdw,6
jdta,kpizi,5
vjrgf,dqow,5
mfm,cwlie,5
qnpdt,yghk,5
tinuwf,hdeml,6
uxdmcw,htxzvk,6
vugzio,ilqf,6
ksl,xiamm,5
oce,lxuoel,5
jhc,ziii,4
wzwg,rjxshh,6
yzc,tmfos,5
ucxgic,xaje,5
pjxiq,cgvj,5
antyu,uyj,5
zwsiuo,fplqhs,6
wnspg,hvjc,5
jqpd,zvifro,6
jdo,acwwc,5
pxv,ygk,3
pxv,sqn,3
qyqwdn,tfy,6
deywio,ljstl,6
rzlil,kuwpl,4
jgko,xzbuzr,6
gdxwm,prglz,5
zcqk,qidbnr,6
kxhn,rjmb,4
hvprty,nioyct,6
wsm,zwxgck,5
zzh,uyjl,4
dxwls,bxqxsk,4
qng,cqtug,3
vfx,duu,3
lio,kujy,4
pwz,eyqatg,6
nemy,yzy,3
zvm,uprjft,6
rlsuw,anxgyc,6
ladvob,uqdh,5
gafrn,rpudaa,6
lhn,aqxwov,6
zai,cezqc,4
qnea,pnqu,4
peyt,utjyii,5
owgpmd,vteyca,6
sascd,qwpkt,5
uuob,ofu,4
omrc,mligyv,6
dlhd,jstir,5
veci,wmb,4
eqjzo,xnp,5
vshok,ziqag,5
ujj,hfv,3
ucamc,wfydtb,6
byuwln,zqt,6
hah,psk,3
xdsfr,gkqs,5
isgwg,bjgz,4
raa,jkgd,4
zofizz,ejuc,6
fefb,kbl,4
